,timestamp,name,value,meta.host,meta.job,meta.node,meta.plugin,meta.sensor,meta.task,meta.vsn,meta.zone
2207,2024-08-07 16:50:43.354278234+00:00,env.pressure,98942,0000e45f01c27bb0.ws-rpi,Pluginctl,000048b02d15bda5,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W022,enclosure
2143,2024-08-07 16:50:55.407331572+00:00,env.pressure,98930.390625,000048b02dd3c296.ws-nxcore,Pluginctl,000048b02dd3c296,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W09F,core
2116,2024-08-07 16:50:40.960828886+00:00,env.pressure,98713.289062,000048b02d15c31a.ws-nxcore,Pluginctl,000048b02d15c31a,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W01A,core
2155,2024-08-07 16:50:50.619619066+00:00,env.pressure,98911.375,000048b02dd3c6cf.ws-nxcore,Pluginctl,000048b02dd3c6cf,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B5,core
2510,2024-08-07 16:50:46.794064698+00:00,env.temperature,50.96,000048b02d3af476.ws-nxcore,Pluginctl,000048b02d3af476,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W051,core
2444,2024-08-07 16:50:35.531291087+00:00,env.relative_humidity,61.818,0000dca632e9bc92.ws-rpi,Pluginctl,000048b02d35a9ed,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W05D,shield
2186,2024-08-07 16:50:35.532357370+00:00,env.pressure,99463,0000dca632e9bc92.ws-rpi,Pluginctl,000048b02d35a9ed,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W05D,shield
2378,2024-08-07 16:50:41.667091330+00:00,env.relative_humidity,17.679,000048b02d35a9bf.ws-nxcore,Pluginctl,000048b02d35a9bf,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W07F,core
2516,2024-08-07 16:50:33.744259914+00:00,env.temperature,47.79,000048b02dd3c551.ws-nxcore,Pluginctl,000048b02dd3c551,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B2,core
2161,2024-08-07 16:50:27.845466368+00:00,env.pressure,99072,0000d83add0dbcb6.ws-rpi,Pluginctl,000048b02dd3c42d,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0AF,shield
2476,2024-08-07 16:50:46.184168031+00:00,env.temperature,50.47,000048b02d15bc65.ws-nxcore,Pluginctl,000048b02d15bc65,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W088,core
2574,2024-08-07 16:50:34.015649379+00:00,env.temperature,23.74,0000e45f014ffa19.ws-rpi,Pluginctl,000048b02d3ae33b,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W07A,shield
2132,2024-08-07 16:50:33.123583187+00:00,env.pressure,98980.542968,000048b02d3ae31a.ws-nxcore,Pluginctl,000048b02d3ae31a,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W094,core
2171,2024-08-07 16:50:30.789261614+00:00,env.pressure,99683,0000d83add18ca94.ws-rpi,Pluginctl,000048b02dd3c543,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W096,shield
2117,2024-08-07 16:50:27.666796176+00:00,env.pressure,99552.17968700001,000048b02d35a87e.ws-nxcore,Pluginctl,000048b02d35a87e,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W08E,core
2426,2024-08-07 16:50:39.239757553+00:00,env.relative_humidity,51.75,0000d83add0dbd79.ws-rpi,Pluginctl,000048b02dd3c814,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B3,shield
2546,2024-08-07 16:50:43.987229015+00:00,env.temperature,24.59,0000dca632a305c8.ws-rpi,Pluginctl,000048b02d05a1c7,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W026,shield
2193,2024-08-07 16:50:50.875094257+00:00,env.pressure,99321,0000e45f012e3796.ws-rpi,Pluginctl,000048b02d3ae31c,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W065,shield
2200,2024-08-07 16:50:33.370808836+00:00,env.pressure,98901,0000e45f014505fa.ws-rpi,Pluginctl,000048b02dd3c644,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0AE,shield
2521,2024-08-07 16:50:34.247509704+00:00,env.temperature,47.25,000048b02dd3c641.ws-nxcore,Pluginctl,000048b02dd3c641,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W09D,core
2397,2024-08-07 16:50:50.082207937+00:00,env.relative_humidity,31.559,000048b02d3af45d.ws-nxcore,Pluginctl,000048b02d3af45d,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W068,core
